frame,pred_q,gt_q,pred_x1,pred_y1,pred_x2,pred_y2,gt_x1,gt_y1,gt_x2,gt_y2,coord_space
0,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
37,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
61,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
99,3,2,0.000000,0.500000,0.500000,1.000000,0.500000,0.000000,1.000000,0.500000,normalized
115,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
124,3,2,0.000000,0.500000,0.500000,1.000000,0.500000,0.000000,1.000000,0.500000,normalized
182,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
250,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
412,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
421,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
498,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
515,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
733,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
739,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
1295,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
1297,1,2,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
2580,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
2595,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
2863,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
2866,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
3450,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
3459,3,3,0.000000,0.500000,0.500000,1.000000,0.000000,0.500000,0.500000,1.000000,normalized
3464,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
3474,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
6301,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
6314,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
9998,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
10014,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
10025,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
10029,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
15504,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
15510,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
16424,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
16429,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
19696,2,2,0.500000,0.000000,1.000000,0.500000,0.500000,0.000000,1.000000,0.500000,normalized
19713,1,1,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,normalized
