ncalls,tottime,percall (ms),cumtime (s),percall (ms),filename:lineno(function)
71,0.9914,0.01396,73.47,1.035,queue.py:180(get)
1,0.01671,0.01671,56.04,56.04,__init__.py:1(<module>)
191/1,0.001051,0.001051,56.04,56.04,~:0(<built-in method builtins.exec>)
1,9.578,9.578,54.4,54.4,~:0(<built-in method exec>)
81/80,0.2712,0.00339,45.34,0.5668,threading.py:327(wait)
1,8.22E-05,8.22E-05,35.55,35.55,camera_detail.py:764(closeEvent)
1,0.001586,0.001586,35.53,35.53,coverage_logger.py:170(stop)
1,0.0002359,0.0002359,35.51,35.51,~:0(<method 'join' of '_thread._ThreadHandle' objects>)
1,7.37E-05,7.37E-05,35.51,35.51,threading.py:1025(_bootstrap_inner)
1,4.10E-05,4.10E-05,35.51,35.51,threading.py:1056(join)
1,7.30E-06,7.30E-06,35.51,35.51,threading.py:998(_bootstrap)
382,0.3543,0.0009274,29.66,0.07765,stream_worker.py:186(_iteration)
360/344,8.463,0.0246,28.13,0.08177,~:0(<method 'acquire' of '_thread.lock' objects>)
115,7.025,0.06109,9.521,0.08279,~:0(<built-in method msleep>)
250,0.4206,0.001682,8.866,0.03546,stream_worker.py:396(_process_frame)
1406,0.1864,0.0001326,8.586,0.006106,roi_window.py:241(update_preview)
4,4.627,1.157,4.709,1.177,~:0(<method 'exec' of 'PySide6.QtWidgets.QDialog' objects>)
250,0.08122,0.0003249,4.093,0.01637,material_detector.py:222(process_frame)
266,0.00893,3.36E-05,3.849,0.01447,stream_worker.py:466(_read_with_timeout)
6,3.076,0.5127,3.564,0.5941,~:0(<built-in method information>)
1,8.91E-05,8.91E-05,3.522,3.522,main_window.py:612(_on_edit_camera_data_loaded)
1656,3.129,0.001889,3.129,0.001889,~:0(<built-in method fromImage>)
2760/2670,2.641,0.000989,2.996,0.001122,~:0(<method 'copy' of 'numpy.ndarray' objects>)
2406/2372,1.778,0.0007495,2.472,0.001042,~:0(<cvtColor>)
250,1.754,0.007018,2.41,0.009639,~:0(<method 'apply' of 'cv2.BackgroundSubtractorMOG2' objects>)
250,0.0505,0.000202,2.283,0.009131,material_detector.py:342(process_mask)
1,0.0001388,0.0001388,2.033,2.033,preview_scheduler.py:103(run)
1,2.003,2.003,2.007,2.007,preview_scheduler.py:59(_create_capture)
1,2.55E-05,2.55E-05,2.007,2.007,preview_scheduler.py:25(get_capture)
1416,0.04959,3.50E-05,1.902,0.001343,roi_selector.py:171(_update_display)
1406,0.08925,6.35E-05,1.742,0.001239,roi_window.py:258(update_label_pixmap)
267,1.082,0.004052,1.691,0.006332,~:0(<method 'read' of 'cv2.VideoCapture' objects>)
1657,1.617,0.0009761,1.621,0.0009785,~:0(<method 'scaled' of 'PySide6.QtGui.QPixmap' objects>)
500,0.4961,0.0009922,1.475,0.00295,material_detector.py:195(apply_morphological_ops)
1,2.89E-05,2.89E-05,1.394,1.394,main_window.py:627(<lambda>)
1,0.0001186,0.0001186,1.382,1.382,main_window.py:639(_on_camera_updated)
1,2.86E-05,2.86E-05,1.275,1.275,main_window.py:672(<lambda>)
1,6.79E-05,6.79E-05,1.255,1.255,main_window.py:680(_on_camera_deleted)
249,0.1242,0.0004989,1.221,0.004902,camera_detail.py:534(on_processed_frame)
5,1.087,0.2173,1.087,0.2173,~:0(<method 'show' of 'PySide6.QtWidgets.QWidget' objects>)
