interval_start_s,interval_end_s,timestamp_start_s,timestamp_end_s,frames,fps,mean_ms,p50,p90,p95,p99
0,5,-0.033333333,4.933333333,149,30,33.56,33.33,33.33,33.33,50.33
5,10,4.966666667,9.966666667,151,30.2,33.33,33.33,33.33,33.33,33.33
10,15,10,14.96666667,150,30.2,33.33,33.33,33.33,33.33,33.33
15,20,15,19.96666667,150,30.2,33.33,33.33,33.33,33.33,33.33
20,25,20,24.96666667,150,30.2,33.33,33.33,33.33,33.33,33.33
25,30,25,29.96666667,150,30.2,33.33,33.33,33.33,33.33,33.33
30,35,30,34.93333333,149,30.2,33.33,33.33,33.33,33.33,33.33
35,40,34.96666667,39.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
40,45,39.96666667,44.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
45,50,44.96666667,49.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
50,55,49.96666667,54.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
55,60,54.96666667,59.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
60,65,59.96666667,64.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
65,70,64.96666667,69.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
70,75,69.96666667,74.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
75,80,74.96666667,79.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
80,85,79.96666667,84.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
85,90,84.96666667,89.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
90,95,89.96666667,94.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
95,100,94.96666667,99.93333333,150,30.2,33.33,33.33,33.33,33.33,33.33
100,105,99.96666667,104.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
105,110,104.9666667,109.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
110,115,109.9666667,114.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
115,120,114.9666667,119.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
120,125,119.9666667,124.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
125,130,124.9666667,129.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
130,135,129.9666667,134.9666667,151,30.2,33.33,33.33,33.33,33.33,33.33
135,140,135,139.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
140,145,140,144.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
145,150,145,149.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
150,155,150,154.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
155,160,155,159.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
160,165,160,164.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
165,170,165,169.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
170,175,170,174.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
175,180,175,179.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
180,185,180,184.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
185,190,185,189.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
190,195,190,194.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
195,200,195,199.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
200,205,200,204.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
205,210,205,209.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
210,215,210,214.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
215,220,215,219.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
220,225,220,224.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
225,230,225,229.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
230,235,230,234.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
235,240,235,239.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
240,245,240,244.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
245,250,245,249.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
250,255,250,254.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
255,260,255,259.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
260,265,260,264.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
265,270,265,269.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
270,275,270,274.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
275,280,275,279.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
